S.No:  :RequestDate:  :ActionType:: ID:: noOfScan:: : totalScans :
S.No: 138RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 203.50
S.No: 139RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 204.50
S.No: 140RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 205.50
S.No: 141RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 206.50
S.No: 142RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 207.50
S.No: 143RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 208.50
S.No: 144RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 209.50
S.No: 145RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 210.50
S.No: 146RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 211.50
S.No: 147RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 212.50
S.No: 148RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 213.50
S.No: 149RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 214.50
S.No: 150RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 215.50
S.No: 151RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 216.50
S.No: 152RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 217.50
S.No: 153RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 218.50
S.No: 154RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 219.50
S.No: 155RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 220.50
S.No: 156RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 221.50
S.No: 157RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 222.50
S.No: 158RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 223.50
S.No: 159RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 224.50
S.No: 160RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 225.50
S.No: 161RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 226.50
S.No: 162RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 227.50
S.No: 163RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 228.50
S.No: 164RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 229.50
S.No: 165RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 230.50
S.No: 166RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 231.50
S.No: 167RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 232.50
